Post Office (English),Post Code
Ullapara RS EDSO,6751.0
Lahiri Mohanpur SO,6752.0
Salap EDSO,6753.0
Shahjadpur UPO,6760.0
Porjana EDSO,6761.0
Jamirta SO,6762.0
Kalijurihat EDSO,6763.0
Tarash UPO,6770.0
Kushtia HO,7000
Kushtia Mohini Mills TSO,7001
Jagati SO,7002
Islamic University SO,7003
Kumarkhali UPO,7010
Panti EDSO,7011
Janipur (Khoksa) UPO,7020
Khoksa SO,7021
Mirpur UPO,7030
Puradah SO,7031
Amla Sadarpur EDSO,7032
Bheramara UPO,7040
Ganges Bheramara SO,7041
Allahr Darga SO,7042
Refayetpur (Daulatpur) UPO,7050
Taragunia SO,7051
Khas Mathurapur SO,7052
Meherpur HO,7100
Amjupi SO,7101
Mujibnagar Complex SO,7102
Gangni UPO,7110
Chuadanga HO,7200
Munshigonj SO,7201
Alamdanga UPO,7210
Hardi EDSO,7211
Damurhuda UPO,7220
Daesana (LSG) SO,7221
Andulbaria EDSO,7222
Daulagonj (Jibannagar) UPO,7230
Jhenaidah HO,7300
Jhenaidah Cadet College SO,7301
Harina Kunda UPO,7310
Shailakupa UPO,7320
Kumaradah EDSO,7321
Court Chandpur UPO,7330
Maheshpur UPO,7340
Naldanga (Kaligonj) UPO,7350
Hatbar Bazar SO,7351
Jashore HO,7400
Jashore Sattelite TSO,7401
chachra UC TSO,7402
Jashore Cantt. TSO,7403
Jashore Air Base TSO,7404
Rupdia EDSO,7405
Basundia SO,7406
Churamankati SO,7407
Chawgacha UPO,7410
Jhekargacha UPo,7420
Sarsha UPO,7430
Benapole SO,7431
Jadabpur SO,7432
Bag Achra EDSO,7433
Monirampur UPo,7440
Keshabpur UPO,7450
Noapara (Avay Nagar) UPO,7460
Rajhat SO,7461
Bhugilhat SO,7462
Bagarpara UPo,7470
Gour Nagar EDSO,7471
Narail HO,7500
Ratangonj SO,7501
Lakshmipasa (Lohagara) UPO,7510
Lohagara SO,7511
Itna SO,7512
Naldi SO,7513
Bardia SO,7514
Kalia UPO,7520
Mahajan SO,7521
Magura HO,7600
Sreepur UPO,7610
Langalband SO,7611
Nakul EDSO,7612
Arpara (Salikha) UPO,7620
Mohammadpur UPO,7630
Benodpur EDSO,7631
Nahata SO,7632
Rajbari HO,7700
Goalondo UPO,7710
Khankhanapur SO,7711
Pangsha UPO,7720
Ramkol CSO,7721
Ratondia CSO,7722
Mrigi Bazar EDSO,7723
Baliakandi UPO,7730
Nolia CSO,7731
Faridpur HO,7800
Kanaipur SO,7801
Ambicapur SO,7802
Baitul Aman Politechnoque Institute TSO,7803
Sree Angan SO,7804
Char Bhadrasan UPO,7810
Sadarpur UPO,7820
Hatkrishnapur SO,7821
Biswajaker Manjil SO,7822
Bhanga UPO,7830
Nagarkanda UPO,7840
Talma SO,7841
Madhukhali UPO,7850
Kamarkhali SO,7851
Boalmari UPO,7860
Rupapat EDSO,7861
Alfadanga UPO,7870
Madaripur HO,7900
Charmugria SO,7901
Kulpaddi EDSO,7902
habigonj EDSO,7903
Mustafapur EDSO,7904
Rajair UPO,7910
Khalia SO,7911
Kalkini UPO,7920
Saheb Rampur EDSO,7921
Barahamgonj (Shibchar) UPO,7930
Nilakashmi Bandar SO,7931
Bahadurpur EDSO,7932
Umedpur EDSO,7933
Palong (Shariatpur) HO,8000
ngaria SO,8001
Chikandi SO,8002
Jangira UPO,8010
Naria UPO,8020
Bhujeswar SO,8021
Gharisar SO,8022
UPSI SO,8023
Kartikpur SO,8024
Bhedergonj UPO,8030
Demuday UPO,8040
Gosairhat UPO,8050
Gopalgonj HO,8100
Ulpur SO,8101
Barfa SO,8102
Kotalipara UPO,8110
Tongipara HO,8120
Patgati SO,8121
Kasiani UPO,8130
Ramdia College SO,8131
Ratail EDSO,8132
Jonapur EDSO,8133
Maksudpur UPO,8140
Batkiamari SO,8141
Khanderpara EDSO,8142
Barishal HO,8200
Bukhainnagar EDSO,8201
Saheberhat EDSO,8202
Sugandia EDSO,8203
Patang EDSO,8204
Kasipur EDSO,8205
Jaguarhat EDSO,8206
Rupatoli Housing Estate SO,8207
Babugonj UPO,8210
Rahmatpur SO,8211
Chandpasa EDSO,8212
Madabpasa EDSO,8213
Thakur Mallik EDSO,8214
Nizam Uddin College EDSO,8215
Barishal Cadet College SO,8216
Babugonj Bandar SO,8217
Uzirpur UPO,8220
Dhamura SO,8221
Jugirkanda SO,8222
Sikarpur SO,8223
Gour Nadi UPO,8230
Tarki Bandar SO,8231
Kasemabad SO,8232
Batajore SO,8233
Agailjara UPO,8240
Gaila SO,8241
Paiserhat SO,8242
Muladi UPO,8250
Kazirchar EDSO,8251
Charkalekhan EDSO,8252
Barjalia (Hijla) UPo,8260
Osman Manjil SO,8261
Mehendigonj UPO,8270
Laskerpur SO,8271
Ulania SO,8272
Nalgora EDSO,8273
Lengutia SO,8274
Sahebgonj (Bakhergonj) UPO,8280
Charmaddi EDSO,8281
Padri Shibpur SO,8282
Sialguni EDSO,8283
Kalaskakti SO,8284
Bhola HO,8300
Joynagar SO,8301
Daulatkhan UPO,8310
Hazipur Madrasa SO,8311
Burhanuddin UPO,8320
Mirza Kalu SO,8321
Lalmohan UPo,8330
Daurihat EDSO,8331
Gazaria SO,8332
Charfessan UPO,8340
Dularhat EDSO,8341
Keramatgonj EDSO,8342
Hat Shasigonj (Tazimuddin),8350
Hazirhat (Monpura),8360
Jhalakati UO,8400
Nabagram EDSO,8401
Bawkati EDSO,8402
Gava EDSO,8403
Shekherhat EDSO,8404
Rajapur UPO,8410
Nalchiti UPO,8420
Birkati SO,8421
Kathalia UPO,8430
Amua SO,8431
Niamoti SO,8432
Shoulajalia SO,8433
Pirojpur HO,8500
Hularhat SO,8501
Parerhat SO,8502
Kaukhali UPO,8510
Keondia EDSO,8511
Joykul EDSO,8512
Julagati EDSO,8513
Swarupkati UPO,8520
Darus Sunnat SO,8521
Kaurikhara SO,8522
Jalabari SO,8523
Banaripara UPO,8530
Chakher SO,8531
Nazirpur UPO,8540
Seriamkati SO,8541
Bhanderia UPO,8550
Kanudaskatia EDSO,8551
Daoya EDSO,8552
Mathbaria UPO,8560
Tushkali SO,8561
Halta EDSO,8562
Gulisakhali Mia SO,8563
Tiarkahali SO,8564
Betmore Nutan Hat EDSO,8565
Silargonj EDSO,8566
Patuakhali HO,8600
Moukaran SO,8601
Domki SO,8602
Rahimabad EDSO,8603
Subidhakhali (Mirzagonj) UPO,8610
Khataltali Bazar SO,8611
Baufal UPO,8620
Bangbadar SO,8621
Birpasa SO,8622
Kalisari SO,8623
Kalaiya SO,8624
Dasmina UPO,8630
Golachipa UPO,8640
Gazipur Bandar EDSO,8641
Khepupara UPO,8650
Mahipur EDSO,8651
Barguna HO,8700
Nali Bandar EDSO,8701
Amtali UPO,8710
Patharghata UPO,8720
Kakchira SO,8721
Bamna UPO,8730
Betagi UPO,8740
Darul Ulum EDSO,8741
Khulna GPO,9000
Khulna City HO,9100
Khulna Shipyard SO,9201
Daulatpur TSO,9202
BITT SO,9203
Sirmani TSO,9204
Jahanabad Cantt. TSO,9205
Sonali Jute Mills TSO,9206
Atra Industrial TSO,9207
Khulna University TSO,9208
Fultala UPO,9210
Digalia UPO,9220
Chandani Mohal SO,9221
Senhati SO,9222
Goshgati Barakpur EDSO,9223
Terakhada UPO,9230
Pak Barasat EDSO,9231
Alaipur (Rupsha) UPO,9240
Ropsa East SO,9241
Belfulia SO,9242
Sajiara (Dumuria) UPO,9250
Ghonabanda EDSO,9251
Chuknagar SO,9252
Shahapur SO,9253
Batiaghat UPO,9260
Surkhali EDSO,9261
Chalna Bazar (Dakup) UPO,9270
Dakup EDSO,9271
Bajuya SO,9272
Naliyan SO,9273
Palkgacha UPO,9280
Gadaipur EDSO,9281
Kapilmuni SO,9282
Katipara EDSO,9283
Chandkhali EDSO,9284
Garhaikhali SO,9285
Madinabad (Koyra) UPO,9290
Amadi SO,9291
Bagerhat HO,9300
PC College SO,9301
Rangdia College SO,9302
Kachua UPO,9310
Sonarkola SO,9311
Morelgonj UPO,9320
Sunnashi Bazar EDSO,9321
Telisati SO,9322
Rayenda (Sharankhola) UPO,9330
Rampal UPO,9340
Foyla Hat SO,9341
Sonatunia EDSO,9342
Gouramba SO,9343
Chalna Anchorange UPO,9350
Mongla Port SO,9351
Chitalmari UPO,9360
Barabaria EDSO,9361
Fakirhat UPO,9370
Manasa EDSO,9371
Bhanganper Bazar EDSO,9372
Mollarhat UPO,9380
Kahalpur EDSO,9381
Dariala EDSO,9382
Charkulia SO,9383
Nagarkandi Bazar EDSO,9384
Pakgangni EDSO,9385
Satkhira HO,9400
Satkhira Islamia Academy SO,9401
Gunakarkti EDSO,9402
Buddhat EDSO,9403
Kolaroa UPO,9410
Murarikati EDSO,9411
Jhaodanga EDSO,9412
Hamidpur EDSO,9413
Khordu EDSO,9414
Chandanpur EDSO,9415
Tala UPO,9420
Patkrlghata SO,9421
Debhata UPO,9430
Gurugram EDSO,9431
Kaligonj UPO,9440
Nalta Mubarak Nagar SO,9441
Ratanpur EDSO,9442
Nakipur (Shyamnagar) UPO,9450
Nurnagar EDSO,9451
Naobeki EDSO,9452
Burigoalini EDSO,9453
Gabura EDSo,9454
Habinagar EDSO,9455
Ashashuni UPO,9460
Bardal SO,9461
